"886357","27","5.15"
"370037","27","5.22"
"802268","19","6.26"
"93887","18","8.06"
"205995","18","7.11"
"381833","16","8.75"
"357253","15","9.33"
"162673","15","9.13"
"519026","14","8.36"
"479098","14","10.29"
"352270","14","8.93"
"1624277","14","10.29"
"123396","14","10.36"
"348206","13","10.31"
"24958","13","8.46"
"666356","12","9.08"
"558496","12","12.08"
"412247","12","11"
"371290","12","10.5"
"336489","12","6.25"
"799320","10","11"
"61873","10","10.5"
"603686","10","14.3"
"409969","10","12.3"
"2502418","10","14.7"
"2124558","10","15"
"992060","9","15.22"
"443473","9","14.78"
"2950404","9","14.44"
"2322016","9","11.78"
"456801","8","11.5"
"424735","8","14.25"
"379683","8","16.63"
"327699","8","18.63"
"2645552","8","18.5"
"2107092","8","16.5"
"1668353","8","15.75"
"1593720","8","14.75"
"1176935","8","16.63"
"426912","7","19.57"
"2904246","7","17.86"
"1892269","7","16.14"
"1754748","7","14.14"
"1681211","7","16.43"
"1085301","7","17.57"
"6066","6","15.17"
"420636","6","24.67"
"361719","6","18.83"
"329669","6","21.17"
"2936058","6","22.33"
"2733547","6","14.5"
"1817941","6","22"
